ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-03-01,65.35136372249922,48.86802206626543,87.76506744513587,65.35136372249922,65.35136372249922,2.440285316959576,2.440285316959576,2.440285316959576,2.440285316959576,2.440285316959576,2.440285316959576,0.0,0.0,0.0,67.79164903945879
2021-04-01,65.90395177943856,45.89254782164895,83.19523854153996,65.90395177943856,65.90395177943856,-1.6337520442401003,-1.6337520442401003,-1.6337520442401003,-1.6337520442401003,-1.6337520442401003,-1.6337520442401003,0.0,0.0,0.0,64.27019973519846
2021-05-01,66.4387144151863,52.40664007760049,91.59360794991076,66.4387144151863,66.4387144151863,4.953907203944593,4.953907203944593,4.953907203944593,4.953907203944593,4.953907203944593,4.953907203944593,0.0,0.0,0.0,71.39262161913089
2021-06-01,66.99130247212562,59.57711447100124,97.8034756070517,66.99130247212562,66.99130247212562,10.46285212856917,10.46285212856917,10.46285212856917,10.46285212856917,10.46285212856917,10.46285212856917,0.0,0.0,0.0,77.45415460069479
2021-07-01,67.52606576279474,57.47379574717805,95.39071123160942,67.52606576279474,67.52606576279474,9.50501767609861,9.50501767609861,9.50501767609861,9.50501767609861,9.50501767609861,9.50501767609861,0.0,0.0,0.0,77.03108343889335
2021-08-01,68.07865449648617,54.640474327163716,94.81728591430466,68.07865449648617,68.07865449648617,5.507725385263153,5.507725385263153,5.507725385263153,5.507725385263153,5.507725385263153,5.507725385263153,0.0,0.0,0.0,73.58637988174932
2021-09-01,68.63124323021574,52.526618662893604,92.08796725650372,68.63124323021574,68.63124323021574,3.5229761860318725,3.5229761860318725,3.5229761860318725,3.5229761860318725,3.5229761860318725,3.5229761860318725,0.0,0.0,0.0,72.15421941624761
2021-10-01,69.1660065209218,52.874104310746056,92.57954806227212,69.1660065209218,69.1660065209218,4.213104268432027,4.213104268432027,4.213104268432027,4.213104268432027,4.213104268432027,4.213104268432027,0.0,0.0,0.0,73.37911078935383
2021-11-01,69.71859525446807,50.194893701527064,88.49269075481489,69.71859525446807,69.71859525446807,0.24814603395838472,0.24814603395838472,0.24814603395838472,0.24814603395838472,0.24814603395838472,0.24814603395838472,0.0,0.0,0.0,69.96674128842645
2021-12-01,70.25335854499671,49.5255033729867,87.49690202086326,70.25335854499671,70.25335854499671,-2.882539628574889,-2.882539628574889,-2.882539628574889,-2.882539628574889,-2.882539628574889,-2.882539628574889,0.0,0.0,0.0,67.37081891642183
2022-01-01,70.80594727863166,52.63424113185735,93.06748850330922,70.80594727863166,70.80594727863166,2.5670154496043387,2.5670154496043387,2.5670154496043387,2.5670154496043387,2.5670154496043387,2.5670154496043387,0.0,0.0,0.0,73.372962728236
2022-02-01,71.3585360122666,60.829827056510545,99.88615800010015,71.3585360122666,71.3585360122666,9.895752321126928,9.895752321126928,9.895752321126928,9.895752321126928,9.895752321126928,9.895752321126928,0.0,0.0,0.0,81.25428833339353
2022-03-01,71.85764841687073,59.080311855630406,97.43766623261412,71.85764841687073,71.85764841687073,5.782554049814926,5.782554049814926,5.782554049814926,5.782554049814926,5.782554049814926,5.782554049814926,0.0,0.0,0.0,77.64020246668565
2022-04-01,72.4102371505396,59.994673372547524,96.25804603373547,72.4102371505396,72.4102371505396,5.062221167669832,5.062221167669832,5.062221167669832,5.062221167669832,5.062221167669832,5.062221167669832,0.0,0.0,0.0,77.47245831820943
2022-05-01,72.9450004411869,59.113732545529395,99.79999378538636,72.9450004411869,72.9450004411869,6.0931659188536464,6.0931659188536464,6.0931659188536464,6.0931659188536464,6.0931659188536464,6.0931659188536464,0.0,0.0,0.0,79.03816636004055
2022-06-01,73.49758917470824,62.01304047626419,98.80679148961676,73.49758917470824,73.49758917470824,6.760269133202159,6.760269133202159,6.760269133202159,6.760269133202159,6.760269133202159,6.760269133202159,0.0,0.0,0.0,80.2578583079104
2022-07-01,74.03235246521277,61.21760656356792,98.85929328026046,74.03235246521277,74.03235246521277,6.395633401961218,6.395633401961218,6.395633401961218,6.395633401961218,6.395633401961218,6.395633401961218,0.0,0.0,0.0,80.42798586717399
2022-08-01,74.58494119880532,59.536956715926,99.3203742857899,74.58494119880532,74.58494119880532,4.203829734962757,4.203829734962757,4.203829734962757,4.203829734962757,4.203829734962757,4.203829734962757,0.0,0.0,0.0,78.78877093376808
2022-09-01,75.13752993239788,61.353519800689625,99.47840686985366,75.13752993239788,75.13752993239788,5.522665603852294,5.522665603852294,5.522665603852294,5.522665603852294,5.522665603852294,5.522665603852294,0.0,0.0,0.0,80.66019553625017
